--------- beginning of system
02-08 22:42:38.224  1029  4888 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.YourCompany.TemplateProject3/com.epicgames.ue4.GameActivity} from uid 2000
02-08 22:42:38.256  1029  1053 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
02-08 22:42:38.278  1029  1062 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
02-08 22:42:38.283  1029  1062 I ActivityManager: Start proc 25212:com.YourCompany.TemplateProject3/u0a147 for activity {com.YourCompany.TemplateProject3/com.epicgames.ue4.GameActivity}
02-08 22:46:01.870   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 11 lines
02-08 22:46:01.899   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:01.944   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:03.150   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 34 lines
02-08 22:46:03.197   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:03.204   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:03.915   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 19 lines
02-08 22:46:03.960   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:03.962   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.012   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 26 lines
02-08 22:46:05.057   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.061   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.286   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 5 lines
02-08 22:46:05.325   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.327   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.466   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 3 lines
02-08 22:46:05.508   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.558   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.602   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.607   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.666   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.713   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.764   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.813   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.860   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.901   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.904   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:05.929   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 1 line
02-08 22:46:05.978   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:06.024   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:06.068   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:06.113   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:06.920   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 21 lines
02-08 22:46:06.966   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:06.970   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:07.341   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 10 lines
02-08 22:46:07.388   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:07.437   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:07.485   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:07.489   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:08.868   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 34 lines
02-08 22:46:08.870   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:08.916   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:09.088   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 4 lines
02-08 22:46:09.140   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:09.144   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:09.384   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 5 lines
02-08 22:46:09.429   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:09.434   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:09.556   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 3 lines
02-08 22:46:09.608   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:09.626   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:09.669   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:09.671   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:10.468   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 19 lines
02-08 22:46:10.517   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:10.522   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:10.866   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 10 lines
02-08 22:46:10.910   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:10.951   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:11.237   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 7 lines
02-08 22:46:11.254   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:11.257   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:11.804   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 13 lines
02-08 22:46:11.815   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:11.861   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:12.046   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 4 lines
02-08 22:46:12.091   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:12.095   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:12.109   757 24804 E FrameSetDispatcher: [HEADSET] Client pid=883 (IOT): Failed to read from receive FMQ for 4 packets in 5000ms.
02-08 22:46:12.109   757 24804 E FrameSetDispatcher: This probably means this client is taking more than 33 ms to process the frame.
02-08 22:46:12.109   757 24804 E FrameSetDispatcher: Retrying.
02-08 22:46:12.148   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:12.586   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 11 lines
02-08 22:46:12.626   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:12.627   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:12.845   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 5 lines
02-08 22:46:12.888   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:12.894   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:13.107   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 5 lines
02-08 22:46:13.155   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:13.164   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:13.391   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 5 lines
02-08 22:46:13.438   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:13.444   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:13.487   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:13.764   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 7 lines
02-08 22:46:13.808   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:13.858   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:13.914   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:46:13.962   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:13.971   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.029   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.071   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.116   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.157   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.197   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.242   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:14.243   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.280   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.333   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.377   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.423   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:14.466   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.509   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.512   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.558   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:14.597   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.639   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.680   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.726   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.778   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.877   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 3 lines
02-08 22:46:14.939   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:14.986   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.027   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.066   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.070   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.111   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.157   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.205   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.306   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:46:15.352   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.353   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.438   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 2 lines
02-08 22:46:15.488   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.533   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.576   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.616   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.628   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.675   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.719   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.764   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.813   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.842   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.893   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 1 line
02-08 22:46:15.895   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.939   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:15.985   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.032   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.118   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 2 lines
02-08 22:46:16.157   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.159   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.204   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.254   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.303   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.353   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.388   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.429   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.431   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.477   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.519   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 1 line
02-08 22:46:16.549   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.597   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.646   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.704   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.706   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.754   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.804   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.862   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.908   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.948   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.986   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:16.987   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.038   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.181   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 3 lines
02-08 22:46:17.227   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.271   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.272   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.317   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.352   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.402   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.452   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.496   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.540   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.542   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.565   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.612   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.656   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.705   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:17.965   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 7 lines
02-08 22:46:18.016   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.044   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.193   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 4 lines
02-08 22:46:18.236   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.288   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.339   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.495   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 4 lines
02-08 22:46:18.541   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.573   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.618   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.622   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.671   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.720   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.839   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 3 lines
02-08 22:46:18.881   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.886   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.939   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:18.986   883  1355 W TrackingService: attachClient: found client in attached list
