--------- beginning of system
03-09 18:58:45.043  1052  8717 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.CraftyGoblinStudios.GroovyBeats/com.epicgames.ue4.GameActivity} from uid 2000
03-09 18:58:45.069  1052  1085 I ActivityManager: Start proc 14799:com.CraftyGoblinStudios.GroovyBeats/u0a217 for activity {com.CraftyGoblinStudios.GroovyBeats/com.epicgames.ue4.GameActivity}
03-09 18:58:49.334   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 36 lines
03-09 18:58:49.354   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:49.356   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:49.375   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:49.377   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:49.574   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 8 lines
03-09 18:58:49.605   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:49.606   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:49.619   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:49.620   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:49.848   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 11 lines
03-09 18:58:49.868   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:49.869   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:50.367   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 27 lines
03-09 18:58:50.376   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:50.378   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:50.544   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 6 lines
03-09 18:58:50.546   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:50.568   861  4212 D TrackingService: getSharedMemory: com.CraftyGoblinStudios.GroovyBeats#14799, HeadTracker
03-09 18:58:50.590   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:50.592   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:50.634   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:50.636   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:51.075   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 22 lines
03-09 18:58:51.095   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:51.096   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:54.313   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 169 lines
03-09 18:58:54.326   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:54.328   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:54.370   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 2 lines
03-09 18:58:54.404   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:54.405   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:55.257   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 42 lines
03-09 18:58:55.264   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:55.265   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:55.535   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 17 lines
03-09 18:58:55.538   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:55.573   738 13640 I SyncBossHAL: [info   ] syncboss_hal_input_controller.c(61): 86557c33xxxxxxxx: 10 missed/360010 expected (PER 0.00%)
03-09 18:58:55.577   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:55.670   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 6 lines
03-09 18:58:55.676   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:55.678   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:55.823   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 17 lines
03-09 18:58:55.863   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:55.864   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:56.453   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 31 lines
03-09 18:58:56.459   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:56.460   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:56.500   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 2 lines
03-09 18:58:56.534   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:56.543   738 13640 E SyncBossHAL: [error  ] syncboss_hal_jedi.c(88): Failed to send telemetry event for module jedi with error -22
03-09 18:58:56.569   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:56.591   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 2 lines
03-09 18:58:56.612   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:56.613   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:57.421   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 44 lines
03-09 18:58:57.454   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:57.455   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:57.767   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 14 lines
03-09 18:58:57.810   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:57.812   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:57.866   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 2 lines
03-09 18:58:57.896   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:57.898   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:58.791   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 49 lines
03-09 18:58:58.825   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:58.826   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:58.889   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 4 lines
03-09 18:58:58.926   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:58.949   738 13640 E SyncBossHAL: [error  ] syncboss_hal_jedi.c(88): Failed to send telemetry event for module jedi with error -22
03-09 18:58:58.961   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:59.047   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 6 lines
03-09 18:58:59.053   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:59.054   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:59.220  1827 14935 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.sendBroadcast:1057 android.content.ContextWrapper.sendBroadcast:448 X.nq.A00:220 X.mb.A00:17 X.mb.handleMessage:80 
03-09 18:59:00.394   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 72 lines
03-09 18:59:00.403   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:00.404   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:01.375   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 53 lines
03-09 18:59:01.405   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:01.406   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:03.891   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 130 lines
03-09 18:59:03.923   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:03.924   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:04.452   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 30 lines
03-09 18:59:04.490   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:04.491   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:07.007   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 140 lines
03-09 18:59:07.049   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:07.050   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:07.764   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 38 lines
03-09 18:59:07.806   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:07.807   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:07.847   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 2 lines
03-09 18:59:07.855   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:07.856   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:08.293   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 22 lines
03-09 18:59:08.314   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:08.315   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:08.867   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 29 lines
03-09 18:59:08.884   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:08.885   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:09.104   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 11 lines
03-09 18:59:09.115   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:09.117   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:09.549   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 24 lines
03-09 18:59:09.583   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:09.584   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:11.660   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 121 lines
03-09 18:59:11.684   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:11.685   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:12.839   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 64 lines
03-09 18:59:12.874   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:12.875   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:13.965   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 65 lines
03-09 18:59:13.974   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:13.974   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:14.980   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 55 lines
03-09 18:59:15.004   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.005   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.413   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 20 lines
03-09 18:59:15.425   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.439   738   948 I SyncBossHAL: [info   ] syncboss_hal_powerstate.c(50): Reporting powerstate event: PROX_ON
03-09 18:59:15.440  1052  1246 I PowerManagerService: Waking up from Asleep (uid=1000, reason=WAKE_REASON_UNKNOWN, details=VrPwMng:leave-standby)...
03-09 18:59:15.440  1052  1052 W UsageStatsService: Event reported without a package name, eventType:15
03-09 18:59:15.441  1052  1052 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
03-09 18:59:15.441  1052  1097 I DisplayPowerController: Blocking screen on until initial contents have been drawn.
03-09 18:59:15.441  1052  1097 D ActivityTaskManager: Top Process State changed to PROCESS_STATE_TOP
03-09 18:59:15.441   842  1256 D SensorClientUtils: Cancelling delayed transition to SLEEP
03-09 18:59:15.441   861  4212 D SensorClientUtils: Cancelling delayed transition to SLEEP
03-09 18:59:15.441   842  1256 D SensorClientUtils: Received transition request from SLEEP to RUNNING
03-09 18:59:15.444  1590  2638 D SensorClientUtils: Cancelling delayed transition to SLEEP
03-09 18:59:15.448  1052  1052 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
03-09 18:59:15.448  1052  1052 I chatty  : uid=1000 system_server identical 1 line
03-09 18:59:15.448  1052  1052 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
03-09 18:59:15.449  1052  3267 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.sendBroadcast:1057 com.android.server.audio.AudioService.setMicrophoneMuteNoCallerCheck:2893 com.android.server.audio.AudioService.setMicrophoneMute:2879 android.media.IAudioService$Stub.onTransact:1112 android.os.Binder.execTransactInternal:1021 
03-09 18:59:15.450  1052  1052 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
03-09 18:59:15.451   861  4212 D SensorClientUtils: Received transition request from SLEEP to RUNNING
03-09 18:59:15.451   861  4212 D SensorClientUtils: Executing transition from STANDBY to RUNNING
03-09 18:59:15.452   861  1049 I TrackingService: [ vision_manager] STANDBY -> RUNNING transition time: 0 ms
03-09 18:59:15.452   861  1049 I TrackingService: [            iad] STANDBY -> RUNNING transition time: 0 ms
03-09 18:59:15.452   861  1049 I TrackingService: [           bolt] STANDBY -> RUNNING transition time: 0 ms
03-09 18:59:15.452  1590  2638 D SensorClientUtils: Received transition request from SLEEP to RUNNING
03-09 18:59:15.452  1590  2638 D SensorClientUtils: Executing transition from STANDBY to RUNNING
03-09 18:59:15.452  1590  2638 D OVRRemoteService: [controller] STANDBY -> RUNNING
03-09 18:59:15.458   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.464  1052  1052 I chatty  : uid=1000 system_server identical 5 lines
03-09 18:59:15.465  1052  1052 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
03-09 18:59:15.466  1052  2038 E AppOps  : startOperation
03-09 18:59:15.466  1052  2038 E AppOps  : java.lang.SecurityException: Specified package MrSystemService under uid 1000 but it is really -1
03-09 18:59:15.466  1052  2038 E AppOps  : 	at com.android.server.appop.AppOpsService.verifyAndGetIsPrivileged(AppOpsService.java:2654)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at com.android.server.appop.AppOpsService.startOperation(AppOpsService.java:2235)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at android.app.AppOpsManager.startOpNoThrow(AppOpsManager.java:5469)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at android.app.AppOpsManager.startOpNoThrow(AppOpsManager.java:5450)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at com.android.server.power.Notifier.onWakeLockAcquired(Notifier.java:224)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at com.android.server.power.PowerManagerService.notifyWakeLockAcquiredLocked(PowerManagerService.java:1277)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at com.android.server.power.PowerManagerService.acquireWakeLockInternal(PowerManagerService.java:1112)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at com.android.server.power.PowerManagerService.access$3900(PowerManagerService.java:118)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at com.android.server.power.PowerManagerService$BinderService.acquireWakeLock(PowerManagerService.java:4346)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at android.os.IPowerManager$Stub.onTransact(IPowerManager.java:349)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at android.os.Binder.execTransactInternal(Binder.java:1021)
03-09 18:59:15.466  1052  2038 E AppOps  : 	at android.os.Binder.execTransact(Binder.java:994)
03-09 18:59:15.467   842  1256 D SensorClientUtils: Executing transition from SLEEP to STANDBY
03-09 18:59:15.467   842  1256 D MrSystemService: setPowerState: STANDBY
03-09 18:59:15.467   842  1256 D SensorClientUtils: Executing transition from STANDBY to RUNNING
03-09 18:59:15.467   842  1256 D MrSystemService: setPowerState: RUNNING
03-09 18:59:15.467  1052  1052 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
03-09 18:59:15.467   738  9083 I FrameSetDispatcher: [HEADSET] Client pid=861 (IOT): Client thread started
03-09 18:59:15.467   738  9083 I CameraClientManager: [HEADSET] Added client (861)(IOT) - started clients: 1
03-09 18:59:15.470   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.487  1052  1052 I chatty  : uid=1000 system_server identical 30 lines
03-09 18:59:15.487  1052  1052 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
03-09 18:59:15.493  1052  1078 I DisplayManagerService: Display device changed state: "Built-in Screen", ON
03-09 18:59:15.501  1052  1097 I DisplayPowerController: Unblocked screen on after 60 ms
03-09 18:59:15.505   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.507   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.600   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 5 lines
03-09 18:59:15.644   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.678   738  9083 I HollywoodCameraProvider: [HollywoodCameraProvider] Set cameras to 10 bpp (format 0x00000007)
03-09 18:59:15.682   738   925 I SyncBossHAL: [info   ] pulsar_manager.c(826): Setting controller LED config to period: 40000us, on-time: 34us, delay: -9us
03-09 18:59:15.684   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.730   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 2 lines
03-09 18:59:15.734   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.765   861  1049 I TrackingService: [            iot] STANDBY -> RUNNING transition time: 312 ms
03-09 18:59:15.767   738  9083 I FrameSetDispatcher: [CONTROLLER] Client pid=861 (Cnst): Client thread started
03-09 18:59:15.767   738  9083 I CameraClientManager: [CONTROLLER] Added client (861)(Cnst) - started clients: 1
03-09 18:59:15.767   861  1049 I TrackingService: ConstellationTrackingGlue: setEnableExtendedDeadreckoning to false
03-09 18:59:15.768   861  1049 I TrackingService: [  constellation] STANDBY -> RUNNING transition time: 2 ms
03-09 18:59:15.768   861  1049 I TrackingService: [selftracked_client] STANDBY -> RUNNING transition time: 0 ms
03-09 18:59:15.769   861  1049 I TrackingService: [           hand] STANDBY -> RUNNING transition time: 0 ms
03-09 18:59:15.771   738  9083 I FrameSetDispatcher: [HEADSET] Client pid=861 (Obj): Client thread started
03-09 18:59:15.771   738  9083 I CameraClientManager: [HEADSET] Added client (861)(Obj) - started clients: 2
03-09 18:59:15.772   861  1049 I TrackingService: [         object] STANDBY -> RUNNING transition time: 3 ms
03-09 18:59:15.772   861  1049 I TrackingService: [     controller] STANDBY -> RUNNING transition time: 0 ms
03-09 18:59:15.772   861  1049 I TrackingService: Setting initial exposure: 0.005000, initial gain: 3.000000
03-09 18:59:15.774   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.774   738   738 I FrameSetDispatcher: [HEADSET] Client pid=861 (ExpCtl): Client thread started
03-09 18:59:15.774   738   738 I CameraClientManager: [HEADSET] Added client (861)(ExpCtl) - started clients: 3
03-09 18:59:15.774   861  1049 I TrackingService: [ExposureControl] STANDBY -> RUNNING transition time: 2 ms
03-09 18:59:15.774   861  4212 D TrackingService: setPowerState: RUNNING
03-09 18:59:15.777   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.812  1052  1097 W PowerManagerService: Screen on took 372 ms
03-09 18:59:15.821   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 1 line
03-09 18:59:15.824   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.853   738 15035 W libsensorscommon: [HEADSET FSG] frameset capture timestamp out of spec by -1172579.53ms. observed=1172619532000 expected=40000000. FrameSyncPeriod is 40.00ms
03-09 18:59:15.862   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.868   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.870   861  1042 D TrackingService: getSharedMemory: com.oculus.systemdriver#1260, HeadTracker
03-09 18:59:15.885   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.928   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.930   861  1042 D TrackingService: getSharedMemory: com.oculus.systemdriver, Controller
03-09 18:59:15.931   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.940   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.941   861  1042 D TrackingService: getSharedMemory: com.oculus.mrservice#3023, HeadTracker
03-09 18:59:15.941   861  4212 D TrackingService: getSharedMemory: com.CraftyGoblinStudios.GroovyBeats, Controller
03-09 18:59:15.954   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:15.956   861  1042 D TrackingService: getSharedMemory: com.oculus.guardian, Controller
03-09 18:59:15.972   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.014   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 1 line
03-09 18:59:16.016   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.017   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.018   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.100   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 3 lines
03-09 18:59:16.102   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.131   738 14989 E FrameSetDispatcher: [HEADSET] Client pid=861 (IOT): Failed to read from receive FMQ for 1 packets in 5000ms.
03-09 18:59:16.131   738 14989 E FrameSetDispatcher: This probably means this client is taking more than 33 ms to process the frame.
03-09 18:59:16.131   738 14989 E FrameSetDispatcher: Retrying.
03-09 18:59:16.134  1052  3296 E WindowManager: App trying to use insecure INPUT_FEATURE_NO_INPUT_CHANNEL flag. Ignoring
03-09 18:59:16.148   861  1042 D TrackingService: haptic socket already exists
03-09 18:59:16.148   861  1042 D TrackingService: getSocket: com.CraftyGoblinStudios.GroovyBeats
03-09 18:59:16.148   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.149   738   738 E SensorService: Failed to set simple multi haptics, ret: -1
03-09 18:59:16.153   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.153   861  4212 D TrackingService: getSharedMemory: com.oculus.systemdriver, Controller
03-09 18:59:16.163   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.165   861  4212 D TrackingService: getSharedMemory: com.oculus.vrshell#2057, HeadTracker
03-09 18:59:16.165   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.166   861  4212 D TrackingService: getSharedMemory: com.oculus.vrshell, Controller
03-09 18:59:16.167   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.168   861  4212 D TrackingService: getSharedMemory: com.oculus.guardian, Controller
03-09 18:59:16.194   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.244  1052  1587 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cmp=com.oculus.os.clearactivity/.ClearActivity (has extras)} from uid 10020
03-09 18:59:16.244  1052  1587 W ActivityTaskManager: startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { act=android.intent.action.MAIN flg=0x800000 cmp=com.oculus.os.clearactivity/.ClearActivity (has extras) }
03-09 18:59:16.245   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 2 lines
03-09 18:59:16.263  1052  1078 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
03-09 18:59:16.279   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.279   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.287   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.288   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.289  1052  1446 E WindowManager: App trying to use insecure INPUT_FEATURE_NO_INPUT_CHANNEL flag. Ignoring
03-09 18:59:16.324   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.336   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.364   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.431   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 3 lines
03-09 18:59:16.452   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.472   861 13691 D TrackingService: [HANDTRACKING] Controller 729165a0fe4054d7 in hand: Y, valid: Y
03-09 18:59:16.474   861 13691 D TrackingService: [HANDTRACKING] Controller 86557c336c360320 in hand: Y, valid: Y
03-09 18:59:16.477   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.522   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 2 lines
03-09 18:59:16.546   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.547   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.794   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 12 lines
03-09 18:59:16.828   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.832   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.840   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.840   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:16.883   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:17.069   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 9 lines
03-09 18:59:17.104   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:17.105   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:17.114   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:17.116   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:17.157  1052  1446 I ActivityTaskManager: START u0 {act=com.oculus.os.clearactivity.FINISH cmp=com.oculus.os.clearactivity/.ClearActivity (has extras)} from uid 10020
